,Measured,Predicted
0,7,6.546162876
1,11,8.056799843
2,10,8.73677585
3,5,4.229899913
4,4,6.23284539
5,8,5.14867349
6,8,8.264755519
7,6,6.918843129
8,12,8.623687985
9,5,8.797735105
10,5,5.373049053
11,4,4.453023855
12,4,4.969686079
13,7,4.977430143
14,5,5.858168849
15,6,6.527627724
16,6,7.155683983
17,5,4.103208611
18,5,6.421251783
19,6,4.908827616
20,4,3.458720374
21,7,6.56431754
22,3,3.75857375
23,4,4.874523463
24,8,5.69731678
25,4,4.393049049
26,6,4.528419451
27,3,5.789677165
28,4,4.362664627
29,5,6.164926531
30,5,4.482340071
31,5,4.091638684
32,7,5.826665957
33,4,4.157844156
34,6,8.070135035
35,4,4.079913347
36,7,7.817885653
37,7,7.187050356
38,8,5.256714871
39,4,4.670377357
40,5,5.769382993
41,5,6.213767382
42,5,4.936002098
43,6,8.522866814
44,11,8.006993468
45,7,8.10869634
46,9,6.013350269
47,5,6.720872354
48,4,4.711611015
49,5,5.505007953
50,5,6.117812721
51,6,7.077667921
52,7,6.130223341
53,7,4.677198477
54,2,3.668436131
55,5,6.60164633
56,10,7.434912541
